DR_NO,DATE OCC,TIME OCC,AREA,Rpt Dist No,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Status Desc,LOCATION,LAT,LON,City,Crime Subtype,Perp Age,Perp Sex,Arrest
220808764,04/26/2022 12:00:00 AM,836,8,817,440,THEFT PLAIN - PETTY ($950 & UNDER),0,X,Invest Cont,10800    WEYBURN                      AV,34.0623,-118.4434,Los Angeles,THEFT PLAIN - PETTY ($950 & UNDER),,,False
221419644,12/03/2022 12:00:00 AM,1,14,1483,330,BURGLARY FROM VEHICLE,54,M,Invest Cont,7600 W  MANCHESTER                   AV,33.9597,-118.4307,Los Angeles,BURGLARY FROM VEHICLE,,,False
230809569,05/12/2023 12:00:00 AM,1400,8,882,510,VEHICLE - STOLEN,0,,Invest Cont,2200    SAWTELLE                     BL,34.0382,-118.4412,Los Angeles,VEHICLE - STOLEN,,,False
220512174,08/01/2022 12:00:00 AM,137,5,565,354,THEFT OF IDENTITY,24,F,Invest Cont,900 S  PACIFIC                      AV,33.7365,-118.2923,Los Angeles,THEFT OF IDENTITY,,,False
231510506,05/29/2023 12:00:00 AM,515,15,1548,330,BURGLARY FROM VEHICLE,33,F,Invest Cont,5400    FAIR                         AV,34.1681,-118.3743,Los Angeles,BURGLARY FROM VEHICLE,,,False
201815695,08/16/2020 12:00:00 AM,1550,18,1823,520,VEHICLE - ATTEMPT STOLEN,42,F,Invest Cont,9600 S  SAN PEDRO                    ST,33.9483,-118.2695,Los Angeles,VEHICLE - ATTEMPT STOLEN,,,False
201400763,06/18/2020 12:00:00 AM,1,14,1455,121,"RAPE, FORCIBLE",35,F,Adult Other,12400    SHORT                        AV,33.9929,-118.4234,Los Angeles,"RAPE, FORCIBLE",,,False
220112805,05/21/2022 12:00:00 AM,1040,1,163,330,BURGLARY FROM VEHICLE,43,M,Invest Cont,200 W  7TH                          ST,34.0445,-118.2523,Los Angeles,BURGLARY FROM VEHICLE,,,False
210712437,08/27/2021 12:00:00 AM,130,7,779,624,BATTERY - SIMPLE ASSAULT,0,M,Invest Cont,1700    3RD                          AV,34.0409,-118.3201,Los Angeles,BATTERY - SIMPLE ASSAULT,,,False
202014377,09/08/2020 12:00:00 AM,800,20,2064,624,BATTERY - SIMPLE ASSAULT,65,M,Invest Cont,1100 S  ARDMORE                      AV,34.0491,-118.3021,Los Angeles,BATTERY - SIMPLE ASSAULT,,,False
231915913,08/21/2023 12:00:00 AM,730,19,1901,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0,X,Invest Cont,13900    BALBOA                       BL,34.3234,-118.4929,Los Angeles,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),,,False
200506495,02/27/2020 12:00:00 AM,1730,5,503,510,VEHICLE - STOLEN,0,,Invest Cont,VERMONT                      AV,33.791,-118.2917,Los Angeles,VEHICLE - STOLEN,,,False
202116964,12/12/2020 12:00:00 AM,2000,21,2134,510,VEHICLE - STOLEN,0,,Adult Arrest,GLADE,34.202,-118.6081,Los Angeles,VEHICLE - STOLEN,,,True
231406249,02/23/2023 12:00:00 AM,445,14,1435,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),37,F,Invest Cont,3600    BERRYMAN                     AV,34.013,-118.4247,Los Angeles,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),,,False
220809326,05/09/2022 12:00:00 AM,1630,8,854,761,BRANDISH WEAPON,46,M,Invest Cont,11100    SANTA MONICA                 BL,34.0476,-118.4443,Los Angeles,BRANDISH WEAPON,,,False
220213089,07/08/2022 12:00:00 AM,725,2,217,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),31,M,Invest Cont,1900    SANTA YNEZ                   ST,34.0748,-118.2633,Los Angeles,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,,False
211012701,09/25/2021 12:00:00 AM,1205,10,1012,624,BATTERY - SIMPLE ASSAULT,25,M,Adult Other,18700    RUNNYMEDE                    ST,34.2057,-118.54,Los Angeles,BATTERY - SIMPLE ASSAULT,,,False
220718196,12/24/2022 12:00:00 AM,1845,7,722,440,THEFT PLAIN - PETTY ($950 & UNDER),0,X,Invest Cont,8400    BEVERLY                      BL,34.0761,-118.3732,Los Angeles,THEFT PLAIN - PETTY ($950 & UNDER),,,False
201909671,05/07/2020 12:00:00 AM,1600,19,1966,354,THEFT OF IDENTITY,22,M,Invest Cont,9400    VAN NUYS                     BL,34.2412,-118.4502,Los Angeles,THEFT OF IDENTITY,,,False
211116205,12/07/2021 12:00:00 AM,1300,11,1135,354,THEFT OF IDENTITY,50,F,Invest Cont,3500    CANADA                       ST,34.1139,-118.2328,Los Angeles,THEFT OF IDENTITY,,,False
221607302,02/09/2022 12:00:00 AM,1500,16,1602,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),28,F,Invest Cont,12600    MERCER                       ST,34.2796,-118.4079,Los Angeles,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,,False
221608702,05/24/2022 12:00:00 AM,220,16,1612,903,CONTEMPT OF COURT,18,F,Invest Cont,11200    DE HAVEN                     AV,34.2738,-118.4133,Los Angeles,CONTEMPT OF COURT,,,False
230316221,08/03/2023 12:00:00 AM,700,3,337,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),24,M,Invest Cont,RAYMOND,34.0289,-118.298,Los Angeles,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),,,False
