ARREST_KEY,ARREST_DATE,PD_DESC,KY_CD,OFNS_DESC,ARREST_BORO,ARREST_PRECINCT,AGE_GROUP,PERP_SEX,Latitude,Longitude,Vict Age,Vict Sex,Arrest,City
263171322,2023-02-07,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,M,5,25-44,M,40.714957,-74.005654,,,True,New York
263059336,2023-02-05,"TRAFFIC,UNCLASSIFIED INFRACTIO",881.0,OTHER TRAFFIC INFRACTION,Q,106,25-44,M,40.68167427,-73.83279304,,,True,New York
263173261,2023-02-07,BAIL JUMPING 1 & 2,126.0,MISCELLANEOUS PENAL LAW,M,9,45-64,F,40.72449186,-73.9816328,,,True,New York
265417250,2023-03-21,"MENACING,UNCLASSIFIED",344.0,ASSAULT 3 & RELATED OFFENSES,Q,106,18-24,M,40.67989278,-73.85065851,,,True,New York
269591602,2023-06-09,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,B,50,45-64,F,40.883111,-73.90332,,,True,New York
263943939,2023-02-20,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,M,14,18-24,F,40.75723226,-73.98979219,,,True,New York
264147626,2023-02-24,RECKLESS ENDANGERMENT 1,126.0,MISCELLANEOUS PENAL LAW,Q,112,25-44,M,40.72148735485952,-73.86657231619783,,,True,New York
268855592,2023-05-25,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,Q,114,25-44,F,40.760288,-73.921796,,,True,New York
269937215,2023-06-16,"CONTROLLED SUBSTANCE, POSSESSI",235.0,DANGEROUS DRUGS,K,73,25-44,F,40.672126,-73.907496,,,True,New York
269113035,2023-05-30,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,K,68,<18,M,40.63574089,-74.02603873,,,True,New York
266272594,2023-04-06,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348.0,VEHICLE AND TRAFFIC LAWS,K,68,45-64,U,40.63406127,-74.0355569,,,True,New York
264591965,2023-03-05,AGGRAVATED HARASSMENT 2,361.0,OFF. AGNST PUB ORD SENSBLTY &,B,47,45-64,M,40.887325,-73.847247,,,True,New York
265315285,2023-03-18,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348.0,VEHICLE AND TRAFFIC LAWS,S,120,45-64,U,40.641246,-74.087825,,,True,New York
264296229,2023-02-27,AGGRAVATED CRIMINAL CONTEMPT,126.0,MISCELLANEOUS PENAL LAW,Q,106,18-24,F,40.67917,-73.808499,,,True,New York
267872758,2023-05-07,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,B,40,45-64,M,40.805192,-73.921489,,,True,New York
268114866,2023-05-11,"MENACING,UNCLASSIFIED",344.0,ASSAULT 3 & RELATED OFFENSES,Q,113,18-24,F,40.680077,-73.775929,,,True,New York
265989718,2023-03-31,AGGRAVATED HARASSMENT 2,361.0,OFF. AGNST PUB ORD SENSBLTY &,S,121,25-44,M,40.633953,-74.143459,,,True,New York
267991064,2023-05-09,RECKLESS ENDANGERMENT 1,126.0,MISCELLANEOUS PENAL LAW,M,34,18-24,M,40.86868689,-73.92343241,,,True,New York
269942301,2023-06-16,"BURGLARY,UNCLASSIFIED,UNKNOWN",107.0,BURGLARY,K,60,45-64,M,40.577258,-73.976436,,,True,New York
269413418,2023-06-06,AGGRAVATED HARASSMENT 2,361.0,OFF. AGNST PUB ORD SENSBLTY &,M,19,25-44,M,40.766896,-73.96373,,,True,New York
270627275,2023-06-30,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,Q,103,18-24,F,40.699795,-73.807364,,,True,New York
269201143,2023-06-02,"CONTROLLED SUBSTANCE, INTENT T",117.0,DANGEROUS DRUGS,Q,103,25-44,M,40.70105357,-73.8088765,,,True,New York
267454758,2023-04-29,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,Q,109,18-24,U,40.757691,-73.834115,,,True,New York
265988491,2023-03-31,"FORGERY,ETC.,UNCLASSIFIED-FELO",113.0,FORGERY,M,32,25-44,M,40.82043723,-73.9362273,,,True,New York
262228260,2023-01-20,"CONTEMPT,CRIMINAL",359.0,OFFENSES AGAINST PUBLIC ADMINI,S,120,45-64,M,40.644996,-74.077263,,,True,New York
269118781,2023-05-31,LEAVING SCENE-ACCIDENT-PERSONA,348.0,VEHICLE AND TRAFFIC LAWS,B,41,25-44,M,40.8210693,-73.89893315,,,True,New York
269291679,2023-06-04,"PUBLIC ADMINISTRATION,UNCLASSI",126.0,MISCELLANEOUS PENAL LAW,K,67,25-44,M,40.661678,-73.927925,,,True,New York
266377993,2023-04-08,ASSAULT POLICE/PEACE OFFICER,106.0,FELONY ASSAULT,S,120,18-24,M,40.63574,-74.121444,,,True,New York
