INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
240174759,2022-02-05,21:35:00,BROOKLYN,INSIDE,61,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,False,18-24,M,BLACK,25-44,M,WHITE HISPANIC,1001022.0,156448.0,40.596076,-73.939603,POINT (-73.939603 40.596076)
247492011,2022-07-02,21:39:00,QUEENS,INSIDE,102,0.0,COMMERCIAL,SMALL MERCHANT,False,(null),(null),(null),<18,F,WHITE HISPANIC,1033692.0,194201.0,40.699576,-73.82169,POINT (-73.82169 40.699576)
242517445,2022-03-16,13:15:00,BRONX,INSIDE,48,0.0,DWELLING,MULTI DWELL - APT BUILD,True,25-44,F,WHITE HISPANIC,45-64,M,BLACK,1016246.0,248251.0,40.848011,-73.884351,POINT (-73.884351 40.848011)
240986903,2022-02-18,03:55:00,BRONX,OUTSIDE,44,0.0,STREET,(null),False,(null),(null),(null),25-44,M,BLACK,1005914.0,245564.0,40.840667,-73.921704,POINT (-73.921704 40.840667)
254435775,2022-11-20,19:12:00,BROOKLYN,OUTSIDE,67,0.0,STREET,(null),True,(null),(null),(null),25-44,M,BLACK,1003814.0,177153.0,40.652901,-73.929493,POINT (-73.929493 40.652901)
251583517,2022-09-25,03:26:00,BROOKLYN,OUTSIDE,75,0.0,STREET,RESTAURANT/DINER,True,45-64,M,BLACK,18-24,M,BLACK,1015628.0,186760.0,40.679236,-73.886871,POINT (-73.886871 40.679236)
249073139,2022-08-04,22:10:00,BROOKLYN,OUTSIDE,62,0.0,PARKING LOT,COMMERCIAL BLDG,True,18-24,M,WHITE HISPANIC,18-24,M,ASIAN / PACIFIC ISLANDER,984922.0,155728.0,40.594115,-73.997577,POINT (-73.997577 40.594115)
244088128,2022-04-23,09:25:00,MANHATTAN,INSIDE,28,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,False,25-44,M,BLACK,<18,M,BLACK,996482.0,231200.0,40.801258,-73.955816,POINT (-73.955816 40.801258)
244219633,2022-04-26,15:29:00,MANHATTAN,OUTSIDE,28,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,False,18-24,M,WHITE HISPANIC,18-24,M,BLACK,997853.0,230889.0,40.800405,-73.950864,POINT (-73.950864 40.800405)
248157448,2022-07-17,20:47:00,BRONX,OUTSIDE,42,0.0,STREET,(null),False,18-24,M,BLACK,18-24,F,BLACK,1014628.0,242864.0,40.833231,-73.890222,POINT (-73.890222 40.833231)
244660701,2022-05-05,15:56:00,BROOKLYN,OUTSIDE,81,0.0,COMMERCIAL,(null),False,<18,M,BLACK,18-24,M,ASIAN / PACIFIC ISLANDER,1002103.0,193290.0,40.697196,-73.935615,POINT (-73.935615 40.697196)
239521789,2022-01-21,18:19:00,MANHATTAN,INSIDE,32,0.0,DWELLING,MULTI DWELL - APT BUILD,True,45-64,M,BLACK,18-24,M,WHITE HISPANIC,1000227.0,236101.0,40.814706,-73.942277,POINT (-73.942277 40.814706)
245492457,2022-05-22,22:48:00,BROOKLYN,OUTSIDE,67,0.0,STREET,(null),False,(null),(null),(null),<18,M,BLACK,1001627.0,170916.0,40.635786,-73.93739,POINT (-73.93739 40.635786)
249193492,2022-08-07,18:14:00,QUEENS,OUTSIDE,105,0.0,STREET,(null),False,25-44,M,BLACK HISPANIC,18-24,M,BLACK,1053257.0,178273.0,40.65572597,-73.75129439,POINT (-73.75129439 40.65572597)
249073137,2022-08-04,21:28:00,BROOKLYN,OUTSIDE,94,0.0,STREET,(null),False,(null),(null),(null),18-24,M,BLACK,995519.0,202518.0,40.72253462,-73.95934514,POINT (-73.95934514 40.72253462)
241640926,2022-03-05,01:52:00,STATEN ISLAND,OUTSIDE,121,0.0,STREET,(null),False,<18,M,BLACK,25-44,M,BLACK,942822.0,166353.0,40.6231883776008,-74.1492376947323,POINT (-74.1492376947323 40.6231883776008)
247943477,2022-07-12,18:47:00,BROOKLYN,OUTSIDE,67,0.0,STREET,(null),False,25-44,M,BLACK,45-64,M,BLACK HISPANIC,1004666.0,181265.0,40.664185,-73.926408,POINT (-73.926408 40.664185)
246769431,2022-06-16,13:05:00,BROOKLYN,INSIDE,81,0.0,DWELLING,PVT HOUSE,False,45-64,M,WHITE HISPANIC,18-24,F,WHITE,1002882.0,192219.0,40.694256,-73.932807,POINT (-73.932807 40.694256)
253288473,2022-10-29,05:30:00,BROOKLYN,OUTSIDE,67,0.0,STREET,(null),False,(null),(null),(null),18-24,M,BLACK,1007675.0,178663.0,40.657037,-73.915572,POINT (-73.915572 40.657037)
244279285,2022-04-27,16:10:00,QUEENS,OUTSIDE,107,0.0,STREET,(null),False,18-24,M,BLACK,<18,F,ASIAN / PACIFIC ISLANDER,1043851.0,207917.0,40.737162,-73.78493,POINT (-73.78493 40.737162)
249311091,2022-08-09,14:00:00,BRONX,OUTSIDE,40,0.0,HOUSING,MULTI DWELL - PUBLIC HOUS,False,(null),(null),(null),<18,M,BLACK,1009856.0,236549.0,40.815912,-73.907491,POINT (-73.907491 40.815912)
252398563,2022-10-11,22:18:00,BRONX,OUTSIDE,46,0.0,STREET,(null),False,(null),(null),(null),18-24,M,BLACK,1012309.0,252549.0,40.85982,-73.898563,POINT (-73.898563 40.85982)
247290300,2022-06-28,20:35:00,BRONX,INSIDE,43,0.0,DWELLING,MULTI DWELL - APT BUILD,False,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1022756.0,239762.0,40.824684,-73.860868,POINT (-73.860868 40.824684)
242999820,2022-04-01,21:15:00,QUEENS,OUTSIDE,105,0.0,STREET,(null),False,25-44,M,BLACK,25-44,M,BLACK,1058240.0,180450.0,40.661661,-73.733311,POINT (-73.733311 40.661661)
241326152,2022-02-27,08:19:00,MANHATTAN,OUTSIDE,25,0.0,STREET,(null),True,25-44,M,BLACK,25-44,M,BLACK,1001980.0,236230.0,40.815057,-73.935946,POINT (-73.935946 40.815057)
254053456,2022-11-13,03:33:00,MANHATTAN,OUTSIDE,13,0.0,STREET,COMMERCIAL BLDG,False,(null),(null),(null),25-44,M,BLACK,985850.0,210155.0,40.743504,-73.994224,POINT (-73.994224 40.743504)
242393704,2022-03-20,16:00:00,BROOKLYN,INSIDE,75,0.0,STREET,GROCERY/BODEGA,False,25-44,M,BLACK,25-44,M,BLACK,1014049.0,184261.0,40.672382,-73.892576,POINT (-73.892576 40.672382)
242289684,2022-03-18,04:15:00,MANHATTAN,OUTSIDE,17,0.0,STREET,(null),False,25-44,F,BLACK,25-44,M,WHITE,992128.0,214767.0,40.756161,-73.971561,POINT (-73.971561 40.756161)
241569061,2022-03-03,16:00:00,QUEENS,OUTSIDE,105,0.0,PARKING LOT,COMMERCIAL BLDG,False,<18,M,BLACK,<18,M,BLACK,1055213.0,193057.0,40.69629,-73.744088,POINT (-73.744088 40.69629)
253757467,2022-11-07,18:55:00,BRONX,OUTSIDE,46,0.0,STREET,(null),False,18-24,M,BLACK,18-24,M,BLACK,1009358.0,247702.0,40.846527,-73.909249,POINT (-73.909249 40.846527)
254701469,2022-11-27,00:51:00,BROOKLYN,INSIDE,83,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,False,18-24,M,BLACK,<18,F,BLACK,1006631.0,192819.0,40.695894,-73.919288,POINT (-73.919288 40.695894)
255765231,2022-12-11,17:50:00,QUEENS,OUTSIDE,115,0.0,STREET,GROCERY/BODEGA,False,(null),(null),(null),18-24,M,BLACK,1019341.0,213253.0,40.751938,-73.873344,POINT (-73.873344 40.751938)
253238378,2022-10-27,19:34:00,MANHATTAN,INSIDE,9,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,False,25-44,M,BLACK,18-24,M,WHITE HISPANIC,990397.0,204360.0,40.727598,-73.977819,POINT (-73.977819 40.727598)
242046759,2022-03-12,06:00:00,MANHATTAN,OUTSIDE,5,0.0,STREET,STORE UNCLASSIFIED,True,25-44,M,BLACK,45-64,M,BLACK,984185.0,201363.0,40.719373,-74.000231,POINT (-74.000231 40.719373)
247524803,2022-07-04,05:19:00,MANHATTAN,OUTSIDE,23,0.0,STREET,(null),False,25-44,M,BLACK,25-44,M,BLACK,998299.0,228536.0,40.793944,-73.949261,POINT (-73.949261 40.793944)
248668760,2022-07-27,04:08:00,BRONX,OUTSIDE,48,0.0,STREET,(null),True,18-24,M,WHITE HISPANIC,18-24,M,BLACK HISPANIC,1016327.0,250445.0,40.85403,-73.884044,POINT (-73.884044 40.85403)
