ARREST_KEY,ARREST_DATE,PD_DESC,KY_CD,OFNS_DESC,ARREST_BORO,ARREST_PRECINCT,AGE_GROUP,PERP_SEX,Latitude,Longitude,Vict Age,Vict Sex,Arrest,City
262544351,1/26/2023,"BURGLARY,UNCLASSIFIED,UNKNOWN",107,BURGLARY,M,26,18-24,F,40.814845,-73.956312,,,TRUE,New York
264514710,3/3/2023,CRIMINAL POSSESSION WEAPON,118,DANGEROUS WEAPONS,B,40,18-24,M,40.822517,-73.916746,,,TRUE,New York
266864119,4/18/2023,SEXUAL ABUSE,116,SEX CRIMES,B,46,25-44,M,40.85359837,-73.90057688,,,TRUE,New York
261269123,1/3/2023,RESISTING ARREST,359,OFFENSES AGAINST PUBLIC ADMINI,M,14,25-44,M,40.756259,-73.990501,,,TRUE,New York
263265719,2/8/2023,"CONTROLLED SUBSTANCE, POSSESSI",235,DANGEROUS DRUGS,K,60,25-44,M,40.57429553,-73.98868625,,,TRUE,New York
265308858,3/18/2023,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,B,52,25-44,M,40.873944,-73.908788,,,TRUE,New York
267431151,4/28/2023,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,B,43,45-64,M,40.822983,-73.856878,,,TRUE,New York
269874408,6/15/2023,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,B,49,45-64,M,40.855793,-73.843908,,,TRUE,New York
262606388,1/27/2023,"PUBLIC ADMINISTRATION,UNCLASSI",126,MISCELLANEOUS PENAL LAW,B,49,25-44,M,40.86310701,-73.86164613,,,TRUE,New York
268935531,5/27/2023,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,K,69,25-44,F,40.637427,-73.897225,,,TRUE,New York
263702568,2/16/2023,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,B,40,45-64,F,40.810391,-73.924895,,,TRUE,New York
265684563,3/26/2023,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,B,45,25-44,F,40.86465644,-73.81385471,,,TRUE,New York
265743324,3/27/2023,OBSTR BREATH/CIRCUL,344,ASSAULT 3 & RELATED OFFENSES,B,43,25-44,M,40.826583,-73.857409,,,TRUE,New York
265652731,3/25/2023,"BURGLARY,UNCLASSIFIED,UNKNOWN",107,BURGLARY,B,45,18-24,M,40.830792,-73.826946,,,TRUE,New York
267287082,4/26/2023,"CONTEMPT,CRIMINAL",359,OFFENSES AGAINST PUBLIC ADMINI,M,32,25-44,F,40.833452,-73.935448,,,TRUE,New York
267614446,5/2/2023,FORCIBLE TOUCHING,233,SEX CRIMES,Q,108,25-44,M,40.7431246,-73.95606807,,,TRUE,New York
267525557,5/1/2023,CRIMINAL MIS 2 & 3,121,CRIMINAL MISCHIEF & RELATED OF,Q,110,25-44,F,40.744981,-73.870144,,,TRUE,New York
267268002,4/26/2023,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,Q,112,25-44,M,40.71400786,-73.85963979,,,TRUE,New York
264629422,3/6/2023,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109,GRAND LARCENY,B,46,<18,M,40.84672,-73.910024,,,TRUE,New York
266941586,4/19/2023,"THEFT OF SERVICES, UNCLASSIFIE",343,OTHER OFFENSES RELATED TO THEF,M,14,45-64,M,40.749404,-73.991784,,,TRUE,New York
268057372,5/10/2023,"FORGERY,ETC.,UNCLASSIFIED-FELO",113,FORGERY,B,42,25-44,M,40.8350109,-73.90351953,,,TRUE,New York
267337937,4/27/2023,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,B,43,25-44,F,40.825305,-73.875544,,,TRUE,New York
261727376,1/11/2023,FORCIBLE TOUCHING,233,SEX CRIMES,B,43,45-64,M,40.82291231,-73.8700413,,,TRUE,New York
269597011,6/9/2023,"PUBLIC ADMINISTRATION,UNCLASSI",126,MISCELLANEOUS PENAL LAW,K,79,25-44,M,40.688736,-73.944984,,,TRUE,New York
265718708,3/27/2023,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,B,44,25-44,M,40.822622,-73.930942,,,TRUE,New York
270264191,6/22/2023,"INTOXICATED DRIVING,ALCOHOL",347,INTOXICATED & IMPAIRED DRIVING,S,123,65+,M,40.54018552,-74.22358003,,,TRUE,New York
270624820,6/30/2023,STRANGULATION 1ST,106,FELONY ASSAULT,Q,106,25-44,M,40.668463,-73.809389,,,TRUE,New York
268903517,5/26/2023,"FORGERY,ETC.-MISD.",358,OFFENSES INVOLVING FRAUD,B,46,25-44,M,40.84831229,-73.91843533,,,TRUE,New York
261199119,1/1/2023,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,Q,103,65+,M,40.70576236,-73.80165667,,,TRUE,New York
267095925,4/22/2023,"THEFT OF SERVICES, UNCLASSIFIE",343,OTHER OFFENSES RELATED TO THEF,M,30,25-44,U,40.82138169,-73.95413257,,,TRUE,New York
262180701,1/19/2023,"MENACING,UNCLASSIFIED",344,ASSAULT 3 & RELATED OFFENSES,B,48,25-44,F,40.851622,-73.889235,,,TRUE,New York
