ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12107346,JD297817,2020-07-15 01:00:00,015XX S KARLOV AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,False,1012,10.0,24.0,29.0,26,1149300.0,1892231.0,2020,07/22/2020 03:42:12 PM,41.860204623,-87.727439421,"(41.860204623, -87.727439421)"
13070312,JG257446,2023-05-12 03:35:00,028XX S TRIPP AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1031,10.0,22.0,30.0,07,1148517.0,1884754.0,2023,08/19/2023 03:40:26 PM,41.839701904,-87.730506309,"(41.839701904, -87.730506309)"
13134378,JG333673,2023-07-09 03:00:00,075XX S ELLIS AVE,041A,BATTERY,AGGRAVATED - HANDGUN,SIDEWALK,False,False,624,6.0,8.0,69.0,04B,1184201.0,1855126.0,2023,08/19/2023 03:40:26 PM,41.757638411,-87.600489485,"(41.757638411, -87.600489485)"
12952703,JG116658,2023-01-15 01:00:00,023XX E 93RD ST,0420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,RESIDENCE,False,False,413,4.0,7.0,48.0,04B,1193360.0,1843756.0,2023,08/19/2023 03:40:26 PM,41.726219145,-87.567294437,"(41.726219145, -87.567294437)"
12602120,JF124671,2022-01-26 12:07:00,033XX W 16TH ST,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,SIDEWALK,True,False,1021,10.0,24.0,29.0,18,1154146.0,1891840.0,2022,01/03/2023 03:40:27 PM,41.859036453,-87.709661319,"(41.859036453, -87.709661319)"
12552700,JE459386,2021-11-27 16:00:00,054XX S SPAULDING AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,822,8.0,14.0,63.0,07,1155303.0,1868458.0,2021,12/04/2021 03:42:28 PM,41.794850149,-87.706041005,"(41.794850149, -87.706041005)"
12450530,JE334564,2021-08-12 03:31:00,075XX S HARVARD AVE,141A,WEAPONS VIOLATION,UNLAWFUL USE - HANDGUN,SIDEWALK,False,False,623,6.0,6.0,69.0,15,1175375.0,1854879.0,2021,08/19/2021 03:49:47 PM,41.75716238,-87.632842797,"(41.75716238, -87.632842797)"
12534548,JE437361,2021-11-07 17:38:00,066XX S UNIVERSITY AVE,0560,ASSAULT,SIMPLE,APARTMENT,False,False,321,3.0,5.0,42.0,08A,1184695.0,1861128.0,2021,11/14/2021 03:40:16 PM,41.774096904,-87.598491139,"(41.774096904, -87.598491139)"
12081263,JD267847,2020-06-17 18:00:00,081XX S RICHMOND ST,0810,THEFT,OVER $500,ALLEY,False,False,835,8.0,18.0,70.0,06,1158124.0,1850602.0,2020,06/24/2020 03:41:23 PM,41.745793684,-87.696181405,"(41.745793684, -87.696181405)"
13069168,JG256092,2023-05-11 00:23:00,005XX E 75TH ST,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST / OBSTRUCT / DISARM OFFICER,STREET,True,False,323,3.0,6.0,69.0,24,1181344.0,1855409.0,2023,08/19/2023 03:40:26 PM,41.758481302,-87.610951208,"(41.758481302, -87.610951208)"
12457476,JE343060,2021-08-18 20:00:00,098XX S AVENUE G,0810,THEFT,OVER $500,PARK PROPERTY,False,False,432,4.0,10.0,52.0,06,1203118.0,1840607.0,2021,08/25/2021 03:43:29 PM,41.717334211,-87.531658377,"(41.717334211, -87.531658377)"
12930396,JF519610,2022-12-22 07:34:00,063XX S KENWOOD AVE,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,False,False,314,3.0,20.0,42.0,07,1186159.0,1863261.0,2022,01/03/2023 03:40:27 PM,41.779915587,-87.593057157,"(41.779915587, -87.593057157)"
12924509,JF512584,2022-12-16 10:09:00,075XX S KENWOOD AVE,5111,OTHER OFFENSE,GUN OFFENDER - ANNUAL REGISTRATION,VEHICLE NON-COMMERCIAL,True,False,411,4.0,5.0,43.0,26,1186515.0,1855372.0,2022,01/03/2023 03:40:27 PM,41.758259053,-87.592001315,"(41.758259053, -87.592001315)"
12983384,JG153097,2023-02-13 15:00:00,076XX W CLARENCE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,1612,16.0,41.0,10.0,11,1124497.0,1940891.0,2023,08/19/2023 03:40:26 PM,41.994178313,-87.817411917,"(41.994178313, -87.817411917)"
12025419,JD203767,2020-04-07 08:29:00,031XX N ODELL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,2511,25.0,29.0,17.0,14,1126541.0,1919957.0,2020,04/14/2020 03:43:04 PM,41.936699071,-87.810363045,"(41.936699071, -87.810363045)"
13002994,JG176805,2023-03-06 22:00:00,059XX W LAWRENCE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1622,16.0,45.0,15.0,07,1135850.0,1931303.0,2023,08/19/2023 03:40:26 PM,41.967672716,-87.775879433,"(41.967672716, -87.775879433)"
12976566,JG145064,2023-02-08 10:05:00,023XX W MORSE AVE,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,False,True,2411,24.0,50.0,2.0,04A,1159377.0,1945866.0,2023,08/19/2023 03:40:26 PM,42.007181538,-87.6889695,"(42.007181538, -87.6889695)"
12949232,JG112501,2023-01-02 04:16:00,045XX N KEDZIE AVE,0890,THEFT,FROM BUILDING,APARTMENT,False,False,1724,17.0,33.0,14.0,06,1154233.0,1929942.0,2023,08/19/2023 03:40:26 PM,41.963589941,-87.708322812,"(41.963589941, -87.708322812)"
12972851,JG140727,2023-02-04 03:25:00,054XX S NORDICA AVE,0810,THEFT,OVER $500,STREET,False,False,811,8.0,23.0,56.0,06,1130298.0,1867631.0,2023,08/19/2023 03:40:26 PM,41.793044813,-87.79775503,"(41.793044813, -87.79775503)"
12120583,JD314565,2020-07-29 21:39:00,069XX S CAMPBELL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,832,8.0,17.0,66.0,14,1160905.0,1858644.0,2020,08/05/2020 03:41:44 PM,41.767805173,-87.685769393,"(41.767805173, -87.685769393)"
12209171,JD417717,2020-11-01 13:51:00,029XX S ARCHER AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,913,9.0,11.0,60.0,08A,1167828.0,1885312.0,2020,12/17/2020 03:40:05 PM,41.840839328,-87.659627219,"(41.840839328, -87.659627219)"
